Exercise ID,Exercise Name,Category,Subcategory,Duration (min),Description,Coaching Notes,Sets and reps,Difficulty,Equipment,Video URL,Status
,Short Court Sprints,Speed,8-10,5 min,Sprint from center mark to T and back. 10m max distance. Explosive.,Stay low off the start. Decelerate with control. Rest 30s between.,8×,High,,https://www.youtube.com/watch?v=N0EeSJTBMgk,Approved
,Agility Ladder – High Knees,Speed,8-10,5 min,Ladder on court. High knees through each square. Increase speed each set.,Quick ground contact. Drive knees up. Arms active. Eyes forward.,3×,Medium,,https://www.youtube.com/watch?v=0xGfPGNPqzk,Approved
,Agility Ladder – In-Out,Speed,10-12,5 min,Step in and out of each ladder square laterally. Progress to diagonal.,Precise foot placement first. Add speed once pattern is clean.,3×,Medium,,https://www.youtube.com/watch?v=0xGfPGNPqzk,Approved
,First Step Quickness,Speed,10-12,6 min,Coach points direction. Player explodes 3-5 steps only. Reset.,React don't anticipate. First step is widest. Drive off back foot.,4×,High,,https://www.youtube.com/watch?v=dU6tm_gaqO4,Approved
,Resistance Band Sprint,Speed,12-14,8 min,Partner holds resistance band around waist. Sprint against resistance. Release.,Lean into band. Drive arms. Maintain form under resistance.,4×20m,High,,https://www.youtube.com/watch?v=N0EeSJTBMgk,Approved
,Cone Drop Sprint,Speed,10-12,5 min,Coach drops cone at random. Player sprints and picks up before rolling stops.,Stay in ready position. React immediately. Full acceleration every rep.,6×,High,,https://www.youtube.com/watch?v=6Ys5IUkqSHc,Approved
,Speed Ladder Crossover,Speed,12-14,5 min,Lateral crossover step through each ladder square. Both directions.,Cross lead foot over first. Quick placement. Rhythm before speed.,3×,Medium,,https://www.youtube.com/watch?v=0xGfPGNPqzk,Approved
,Jump Rope – Single,Speed,8-10,5 min,Basic single bounce jump rope. Consistent rhythm. Light on feet.,"Land on balls of feet. Soft knees. Small jumps. Wrists turn rope, not arms.",3×60s,Low,,https://www.youtube.com/watch?v=Ry0pHfQHNyA,Approved
,Split Squat,Strength,12-14,10 min,"Front foot forward, back foot on bench or floor. Lower rear knee toward ground.",Front shin vertical. Drive through front heel. Full range of motion. Control the descent.,4×8,Medium,,https://www.youtube.com/watch?v=KChOCdQeEEA,Approved
,Goblet Squat,Strength,10-12,8 min,"Hold med ball or dumbbell at chest. Squat deep, elbows inside knees at bottom.",Chest up. Heels down. Deep squat develops mobility and strength simultaneously.,3×10,Medium,,https://www.youtube.com/watch?v=MxsFDhcyFyE,Approved
,Med Ball Chest Pass,Strength,10-12,8 min,Partner or wall pass. Explosive push. Catch and absorb. Square stance.,Full hip extension at release. Catch with soft hands. Step into throw.,3×10,Medium,,https://www.youtube.com/watch?v=Qo7LxL4f5Mc,Approved
,Med Ball Rotation,Strength,12-14,8 min,Rotational wall throw or partner pass. Drive from hips. Both directions.,Rotation starts from hips — arms follow. Full hip extension at release.,3×10,High,,https://www.youtube.com/watch?v=GnqOcMCPEeQ,Approved
,Med Ball Overhead Slam,Strength,12-14,6 min,Raise med ball overhead. Slam to ground explosively. Full body extension.,Full extension on raise. Aggressive slam. Core braced throughout.,3×8,High,,https://www.youtube.com/watch?v=AiHSKRhqMbg,Approved
,Single Leg RDL,Strength,12-14,8 min,Standing on one leg. Hinge at hip. Reach toward floor. Return to stand.,Slow eccentric — 3 count down. Spine neutral throughout. Slight knee bend on working leg.,3×8,Medium,,https://www.youtube.com/watch?v=D38LmICBbPM,Approved
,Lateral Lunge,Strength,10-12,8 min,Step wide to side. Bend loading knee. Push-off back to start. Both directions.,Keep stepping foot flat. Loading knee tracks over toes. Chest up.,3×10,Medium,,https://www.youtube.com/watch?v=GG9-8E3-0FY,Approved
,Plank Hold,Strength,8-10,5 min,Forearm plank. Straight line from head to heel. Core engaged. Breathe.,Don't let hips sag or pike. Squeeze glutes. Neutral neck. Progress to longer holds.,3×30s,Low,,https://www.youtube.com/watch?v=pvIjsG5Svck,Approved
,Side Plank,Strength,10-12,5 min,Forearm side plank. Hip off ground. Straight body line. Both sides.,Stack feet or stagger for easier version. Don't let hip drop. Full duration.,3×20s,Low,,https://www.youtube.com/watch?v=PfnfjXi2V3Q,Approved
,Glute Bridge,Strength,8-10,6 min,"Lie on back, feet flat, knees bent. Drive hips up. Squeeze at top.",Posterior pelvic tilt at top. Squeeze glutes hard. Controlled descent.,3×12,Low,,https://www.youtube.com/watch?v=JMSKNbNsYtM,Approved
,Banded Lateral Walk,Strength,10-12,5 min,Band around ankles or knees. Athletic stance. Lateral steps maintaining tension.,Constant tension. Don't let feet come together. Small controlled steps.,3×15,Low,,https://www.youtube.com/watch?v=ByM1WG63bAk,Approved
,Push-Up Progression,Strength,8-10,6 min,Standard push-up or regression (knees). Straight body line. Full range.,Elbows at 45° — not flared wide. Chest to floor. Controlled descent.,3×8,Low,,https://www.youtube.com/watch?v=IODxDxX7oi4,Approved
,Med Ball Wood Chop,Strength,12-14,6 min,"Diagonal pattern — high to low, both directions. Drive from core and hips.",Rotation from core. Straight arms. Control the path. Both directions equal reps.,3×10,Medium,,https://www.youtube.com/watch?v=GnqOcMCPEeQ,Approved
,Serve Footwork,Technical,8-10,8 min,Phantom serve motion focusing only on foot pattern. No ball. Trophy to follow-through.,Emphasize shoulder rotation before foot positioning completes. Back foot drives forward.,4×,Low,,https://www.youtube.com/watch?v=wuH3s_HbAYc,Approved
,Return Split Timing,Technical,10-12,8 min,Coach feeds. Player split steps at contact. Explodes to ball. Focus on timing only.,Split happens BEFORE coach contact. Land and react — don't wait.,Feed 20,Medium,,https://www.youtube.com/watch?v=dU6tm_gaqO4,Approved
,Overhead Footwork,Technical,10-12,8 min,Crossover step to overhead position. Shoulder turn. Trophy position loading. No ball.,Shoulder rotation must happen before foot positioning is complete.,4×,Medium,,https://www.youtube.com/watch?v=wuH3s_HbAYc,Approved
,Volley Footwork Pattern,Technical,8-10,6 min,Approach pattern from baseline to net. Split step at service line. Ready position.,Small steps into net. Split exactly at bounce line. Continental grip ready.,3×,Low,,https://www.youtube.com/watch?v=bTaE_tUzNRU,Approved
,Groundstroke Footwork,Technical,10-12,10 min,"Coach feeds to alternating sides. Player executes split, recovery step, unit turn.",Recovery step after every shot. Unit turn early. Weight into the court.,Feed 20,Medium,,https://www.youtube.com/watch?v=bTaE_tUzNRU,Approved
,Slice Footwork,Technical,12-14,8 min,"Approach step pattern for backhand slice. Crossover, side-step, contact point.",Stay sideways through contact. Step through the ball. High to low swing path.,Feed 15,Medium,,https://www.youtube.com/watch?v=bTaE_tUzNRU,Approved
,Drop Shot Recovery,Technical,12-14,6 min,"Coach feeds deep, then drop shot. Player sprints forward, recovers back.",First step is a crossover. Sprint on toes. Recover with split step.,Feed 10,High,,https://www.youtube.com/watch?v=N0EeSJTBMgk,Approved
,Serve and Recovery,Technical,12-14,10 min,"Player serves, immediately recovers to center mark before next ball is fed.",Follow-through lands you forward. Drive to center. Split on second ball.,10 serves,Medium,,https://www.youtube.com/watch?v=wuH3s_HbAYc,Approved
,Ball Juggling – Two Hands,Movement,8-10,5 min,Juggle two balls simultaneously. One in each hand. Eyes up. Consistent height.,Eyes up. Small controlled touches. Progress only when 20+ consecutive achieved.,3×,Low,,https://www.youtube.com/watch?v=mxBQF4HXMBU,Approved
,Ball Juggling – One Hand,Movement,10-12,5 min,Single hand juggle. Dominant then non-dominant. Count consecutive touches.,Stay relaxed. Wrist work not arm. Consistent toss height is the key.,3×,Medium,,https://www.youtube.com/watch?v=mxBQF4HXMBU,Approved
,Catch and Toss Ladder,Movement,8-10,6 min,Agility ladder footwork combined with ball catch from partner. Both at same time.,Feet pattern first until automatic. Then add ball. Eyes cannot be on the ladder.,3×,Low,,https://www.youtube.com/watch?v=mxBQF4HXMBU,Approved
,Partner Mirror – Ball,Movement,10-12,6 min,Two players. Leader moves and passes ball. Follower mirrors and catches.,Stay in sync. Small steps. Anticipate movement pattern.,3×30s,Medium,,https://www.youtube.com/watch?v=4sB5WxWFDgQ,Approved
,Racket Dribbling,Movement,8-10,5 min,"Dribble tennis ball on racket strings while walking, then jogging.",Consistent contact point. Soft hands. Eyes up once pattern is comfortable.,3×30s,Low,,https://www.youtube.com/watch?v=mxBQF4HXMBU,Approved
,Reaction Ball Catch,Movement,10-12,5 min,Partner drops reaction ball from chest. Player catches with one hand.,Stay on toes. React don't anticipate. Alternate catching hand.,3×,Medium,,https://www.youtube.com/watch?v=6Ys5IUkqSHc,Approved
,Footwork + Ball Toss,Movement,10-12,6 min,Player performs lateral shuffle. Simultaneously tosses and catches ball overhead.,Feet independent of hands. Don't let ball pattern disrupt footwork rhythm.,3×,Medium,,https://www.youtube.com/watch?v=4sB5WxWFDgQ,Approved
,Jump Rope – Coordination,Movement,8-10,5 min,"Varied jump rope patterns: single, double under attempts, lateral side-to-side.",Master single bounce first. Build rhythm before attempting variations.,3×45s,Low,,https://www.youtube.com/watch?v=Ry0pHfQHNyA,Approved
,Hip Mobility Flow,Movement,All Ages,12 min,"90-90 transitions, deep lunge with rotation, pigeon variations, hip flexor release.",Move slowly through each transition. Breathe into restriction. Never force range.,1×,Low,,https://www.youtube.com/watch?v=sFh6MSGrDX8,Approved
,Dynamic Warm-Up Routine,Movement,All Ages,8 min,"Leg swings, arm circles, hip circles, walking lunges, inchworms, high knees.",Controlled movement throughout. No bouncing. Increase ROM progressively.,1×,Low,,https://www.youtube.com/watch?v=CHUdHs5s0gc,Approved
,Hip Flexor Stretch,Movement,All Ages,5 min,Kneeling lunge. Drive hips forward. Reach arm opposite to back leg overhead.,Square the hips first. Drive forward through hip crease. Breathe out into it.,2×30s,Low,,https://www.youtube.com/watch?v=sFh6MSGrDX8,Approved
,Thoracic Rotation,Movement,All Ages,5 min,Seated or quadruped thoracic rotation. Thread needle variation. Both directions.,Initiate from mid-back not shoulder. Keep hips stable. Slow controlled rotation.,2×10,Low,,https://www.youtube.com/watch?v=NqNieHNFE1I,Approved
,Ankle Mobility Circuit,Movement,All Ages,5 min,"Calf raises, ankle circles, wall ankle mobilization, toe raises.",Critical for change of direction. Slow ankle circles. Full range each direction.,2×,Low,,https://www.youtube.com/watch?v=CHUdHs5s0gc,Approved
,Hamstring Flow,Movement,All Ages,6 min,"Standing hamstring stretch, seated reach, lying single leg reach. Both sides.",Soft knee bend. Hinge from hip not spine. Feel stretch in belly of muscle.,1×,Low,,https://www.youtube.com/watch?v=sFh6MSGrDX8,Approved
,Shoulder Mobility Drill,Movement,All Ages,5 min,"Arm circles, cross-body stretch, sleeper stretch, wall pec stretch.",Critical for serve health. Sleeper stretch for posterior capsule. Slow pace.,2×,Low,,https://www.youtube.com/watch?v=NqNieHNFE1I,Approved
,Yoga for Tennis – Core,Movement,12-14,10 min,"Boat pose, bird-dog, dead bug, plank variations. Core through stability.","Breath is the foundation. Move on exhale. Hold positions, don't rush transitions.",1×,Low,,https://www.youtube.com/watch?v=Bo4ej3rBbWI,Approved
,Pigeon Pose Flow,Movement,All Ages,6 min,Pigeon pose both sides. Walk hands forward for deeper release. Breathe.,Never force this position. Use a block or folded towel under hip if needed.,2×45s,Low,,https://www.youtube.com/watch?v=sFh6MSGrDX8,Approved
,Inchworm + Reach,Recovery,All Ages,5 min,"Walk hands out to plank, reach one arm up with rotation, walk back. Both sides.",Slow and deliberate. Full rotation at the top. Straight-leg hamstring stretch.,2×8,Low,,https://www.youtube.com/watch?v=CHUdHs5s0gc,Approved
,Foam Roll – Full Body,Recovery,All Ages,10 min,"IT band, quads, hamstrings, calves, thoracic spine. 30-60s per area.",Slow controlled rolling. Pause on tender areas. Breathe through discomfort.,1×,Low,,https://www.youtube.com/watch?v=OkM4cn5Pcv8,Approved
,Static Stretch Cool Down,Recovery,All Ages,10 min,Post-session static stretches. Major muscle groups. Hold 30-45s each.,Only after full warm-up or post-session. Never cold static stretch.,1×,Low,,https://www.youtube.com/watch?v=sFh6MSGrDX8,Approved
,Breathing Reset,Recovery,All Ages,5 min,Box breathing or 4-7-8 pattern. Lying down. Eyes closed. HRV recovery.,"4 count in, 7 count hold, 8 count out. Progressively slower. Nervous system down-reg.",1×,Low,,https://www.youtube.com/watch?v=Bo4ej3rBbWI,Approved
,Lacrosse Ball Foot Roll,Recovery,All Ages,5 min,Stand on lacrosse ball. Roll full foot. Apply pressure to tender areas.,Standing weight load is pressure. Find tight spots and hold 30s.,1×,Low,,https://www.youtube.com/watch?v=OkM4cn5Pcv8,Approved
,Active Recovery Jog,Recovery,All Ages,8 min,Easy 8-minute jog. Heart rate below 140. Conversational pace.,This is recovery — not conditioning. Do not push the pace. Belly breathing.,1×,Low,,https://www.youtube.com/watch?v=CHUdHs5s0gc,Approved
,Skipping Variations,Recovery,All Ages,5 min,"Forward, backward, lateral skipping. Arms active. Light and rhythmic.","Easy pace. Warm tissue, not condition. Smile — set the tone.",3×,Low,,https://www.youtube.com/watch?v=CHUdHs5s0gc,Approved
,High Knees,Speed,All Ages,3 min,Alternate driving knees to hip height. Arms pump. On balls of feet.,Knee to hip height minimum. Pump arms opposite to legs. Light ground contact.,3×20s,Low,,https://www.youtube.com/watch?v=0xGfPGNPqzk,Approved
,Butt Kicks,Speed,All Ages,3 min,Heel drives back to glute while jogging forward. Quick turnover.,Quick ground contact. Stay on toes. Upright posture throughout.,3×20s,Low,,https://www.youtube.com/watch?v=0xGfPGNPqzk,Approved
,Carioca / Grapevine,Movement,All Ages,4 min,Lateral movement with crossover step. Both directions. Hips rotate.,Hip rotation is the key movement. Stay low. Increase speed progressively.,3×,Low,,https://www.youtube.com/watch?v=9A58n5eBBBU,Approved
,Arm Circles + Swings,Movement,All Ages,3 min,"Forward/backward circles, cross-body swings, up-down swings. Both arms.",Full range of motion. Controlled. Gradually increase amplitude.,2×,Low,,https://www.youtube.com/watch?v=CHUdHs5s0gc,Approved
,Walking Lunges,Movement,All Ages,4 min,Lunge forward with each step. Tall torso. Back knee nearly touches floor.,Step long enough for 90° front knee. Torso upright. Drive through front heel.,2×10,Low,,https://www.youtube.com/watch?v=L8fvypPrzzs,Approved
,Leg Swings,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
,,,,,,,,,,,Approved
